Date,Open,High,Low,Close,Volume,Pre_Market_Price,Screenshot_Source,Verified_Yahoo,Notes
2025-01-28,254.23,255.25,253.89,255.18,5332000.0,,user_csv,pending,
2025-01-29,254.55,254.82,253.3,254.2,5671800.0,,user_csv,pending,
2025-01-30,257.2,258.29,256.45,258.05,12981200.0,,user_csv,pending,
2025-01-31,259.08,259.99,257.86,258.56,8961100.0,,user_csv,pending,
2025-02-03,259.75,261.39,259.52,259.94,11521100.0,,user_csv,pending,
2025-02-04,261.83,262.54,261.35,262.5,9850400.0,,user_csv,pending,
2025-02-05,264.45,265.99,263.89,264.13,12681100.0,,user_csv,pending,
2025-02-06,263.66,263.72,261.49,263.43,8731400.0,,user_csv,pending,
2025-02-07,265.22,266.35,263.26,263.9,9154000.0,,user_csv,pending,
2025-02-10,268.0,268.66,267.24,268.37,13250300.0,,user_csv,pending,
2025-02-11,267.7,268.36,266.71,267.39,7169500.0,,user_csv,pending,
2025-02-12,267.15,268.43,266.35,267.67,9328600.0,,user_csv,pending,
2025-02-13,268.4,270.39,268.22,270.31,8347500.0,,user_csv,pending,
2025-02-14,270.07,270.21,265.45,266.29,11546700.0,,user_csv,pending,
2025-02-18,269.68,271.01,269.6,270.7,8185900.0,,user_csv,pending,
2025-02-19,270.68,271.33,269.24,270.85,9342500.0,,user_csv,pending,
2025-02-20,270.23,271.84,270.17,270.99,7356900.0,,user_csv,pending,
2025-02-21,270.8,271.51,269.51,270.74,8917400.0,,user_csv,pending,
2025-02-24,271.45,272.32,270.38,272.21,5374400.0,,user_csv,pending,
2025-02-25,271.46,271.68,266.45,268.62,10079800.0,,user_csv,pending,
2025-02-26,267.08,269.08,266.66,269.03,7276000.0,,user_csv,pending,
2025-02-27,266.49,266.67,264.45,264.93,9374600.0,,user_csv,pending,
2025-02-28,262.56,263.4,261.25,263.27,11504500.0,,user_csv,pending,
2025-03-03,265.07,266.88,265.07,266.74,7725600.0,,user_csv,pending,
2025-03-04,269.01,269.4,267.52,269.06,8481300.0,,user_csv,pending,
2025-03-05,267.97,270.26,267.96,269.62,6990400.0,,user_csv,pending,
2025-03-06,268.25,269.51,268.16,268.25,6136400.0,,user_csv,pending,
2025-03-07,269.09,270.34,267.64,268.39,10431200.0,,user_csv,pending,
2025-03-10,267.62,268.44,265.64,266.04,7593900.0,,user_csv,pending,
2025-03-11,268.47,269.73,268.44,269.16,8436600.0,,user_csv,pending,
2025-03-12,268.47,271.23,268.36,270.33,7236200.0,,user_csv,pending,
2025-03-13,271.57,275.35,271.55,275.13,13741500.0,,user_csv,pending,
2025-03-14,276.27,276.3,274.66,275.24,13365000.0,,user_csv,pending,
2025-03-17,275.54,276.79,275.39,276.73,8583400.0,,user_csv,pending,
2025-03-18,279.9,280.21,278.97,279.96,9596500.0,,user_csv,pending,
2025-03-19,279.85,281.48,279.06,281.11,8822200.0,,user_csv,pending,
2025-03-20,279.49,280.9,279.43,280.75,5863300.0,,user_csv,pending,
2025-03-21,279.46,279.46,276.59,278.49,9359300.0,,user_csv,pending,
2025-03-24,278.91,279.09,276.86,277.25,7870100.0,,user_csv,pending,
2025-03-25,278.78,279.96,278.27,278.47,5090200.0,,user_csv,pending,
2025-03-26,278.93,279.02,277.78,278.24,3717500.0,,user_csv,pending,
2025-03-27,280.55,282.07,279.59,281.97,8476300.0,,user_csv,pending,
2025-03-28,283.82,284.64,282.86,284.06,9563700.0,,user_csv,pending,
2025-03-31,287.53,288.39,285.85,288.14,13925100.0,,user_csv,pending,
2025-04-01,288.54,289.13,285.91,287.57,15923600.0,,user_csv,pending,
2025-04-02,288.28,289.03,287.36,288.16,11074800.0,,user_csv,pending,
2025-04-03,282.78,289.09,282.45,286.42,20524400.0,,user_csv,pending,
2025-04-04,283.64,284.03,278.02,279.72,21517200.0,,user_csv,pending,
2025-04-07,278.86,280.14,272.58,273.71,19807000.0,,user_csv,pending,
2025-04-08,277.87,278.32,274.24,275.2,12639500.0,,user_csv,pending,
2025-04-09,282.22,285.87,281.04,285.38,25342200.0,,user_csv,pending,
2025-04-10,288.81,292.86,287.23,292.35,19837800.0,,user_csv,pending,
2025-04-11,297.96,299.27,296.81,297.93,21080100.0,,user_csv,pending,
2025-04-14,295.54,296.58,294.53,296.23,12427600.0,,user_csv,pending,
2025-04-15,296.93,298.02,296.09,297.78,7924100.0,,user_csv,pending,
2025-04-16,304.65,308.06,303.8,307.47,20778100.0,,user_csv,pending,
2025-04-17,306.31,307.13,302.73,306.12,18287800.0,,user_csv,pending,
2025-04-21,315.02,316.41,313.95,315.59,20372300.0,,user_csv,pending,
2025-04-22,317.49,317.63,310.36,311.11,35242300.0,,user_csv,pending,
2025-04-23,304.18,304.74,300.59,303.65,25421500.0,,user_csv,pending,
2025-04-24,306.98,308.5,304.71,308.07,10845000.0,,user_csv,pending,
2025-04-25,301.78,305.37,301.01,304.73,10691600.0,,user_csv,pending,
2025-04-28,304.15,309.11,302.97,309.07,9375500.0,,user_csv,pending,
2025-04-29,305.81,306.95,304.0,306.06,6852100.0,,user_csv,pending,
2025-04-30,304.61,306.07,303.44,303.77,8331900.0,,user_csv,pending,
2025-05-01,297.41,297.94,295.32,297.46,14969100.0,,user_csv,pending,
2025-05-02,300.17,300.85,297.03,297.98,8678400.0,,user_csv,pending,
2025-05-05,305.92,307.65,304.68,306.88,8924000.0,,user_csv,pending,
2025-05-06,313.12,315.62,311.4,315.48,11445300.0,,user_csv,pending,
2025-05-07,312.1,313.26,310.08,310.75,7888300.0,,user_csv,pending,
2025-05-08,309.76,310.48,303.05,304.63,11927600.0,,user_csv,pending,
2025-05-09,307.79,308.57,306.01,306.84,6913100.0,,user_csv,pending,
2025-05-12,298.33,299.47,296.82,298.19,14375900.0,,user_csv,pending,
2025-05-13,299.02,300.3,297.24,299.46,10233600.0,,user_csv,pending,
2025-05-14,293.67,294.8,291.96,293.16,14800600.0,,user_csv,pending,
2025-05-15,294.1,297.9,293.75,297.84,13497700.0,,user_csv,pending,
2025-05-16,292.62,294.58,291.78,294.24,14173000.0,,user_csv,pending,
2025-05-19,297.85,298.58,296.48,298.03,11656300.0,,user_csv,pending,
2025-05-20,298.35,303.68,298.3,303.58,12851000.0,,user_csv,pending,
2025-05-21,304.55,306.46,303.67,305.82,12414500.0,,user_csv,pending,
2025-05-22,305.09,305.28,302.1,303.11,9704200.0,,user_csv,pending,
2025-05-23,308.86,310.25,307.47,309.75,13339500.0,,user_csv,pending,
2025-05-27,303.81,304.88,302.74,304.5,9578500.0,,user_csv,pending,
2025-05-28,304.64,304.99,303.06,303.81,8803300.0,,user_csv,pending,
2025-05-29,305.74,306.89,304.46,305.61,9487900.0,,user_csv,pending,
2025-05-30,303.64,304.02,301.5,303.6,9553300.0,,user_csv,pending,
2025-06-02,309.21,311.72,308.72,311.67,13593200.0,,user_csv,pending,
2025-06-03,309.56,309.56,307.15,308.91,9315100.0,,user_csv,pending,
2025-06-04,309.41,311.88,308.74,310.9,7462500.0,,user_csv,pending,
2025-06-05,311.24,312.2,307.65,309.33,10817800.0,,user_csv,pending,
2025-06-06,309.09,309.2,305.1,305.18,7787500.0,,user_csv,pending,
2025-06-09,305.39,307.61,305.06,306.62,7159000.0,,user_csv,pending,
2025-06-10,308.31,308.6,305.87,306.71,7071700.0,,user_csv,pending,
2025-06-11,307.5,308.62,305.85,308.37,9248800.0,,user_csv,pending,
2025-06-12,311.74,313.1,311.15,312.2,11531400.0,,user_csv,pending,
2025-06-13,317.26,317.6,315.04,316.29,16592900.0,,user_csv,pending,
2025-06-16,314.8,314.87,311.65,311.78,12848400.0,,user_csv,pending,
2025-06-17,312.66,313.0,310.12,311.94,8234100.0,,user_csv,pending,
2025-06-18,312.89,312.98,309.86,310.26,9370800.0,,user_csv,pending,
2025-06-20,309.33,310.89,309.25,310.13,8794700.0,,user_csv,pending,
2025-06-23,310.34,312.67,310.31,311.08,12687900.0,,user_csv,pending,
2025-06-24,305.07,306.34,303.54,306.19,12035200.0,,user_csv,pending,
2025-06-25,305.31,307.36,305.12,307.12,6733200.0,,user_csv,pending,
2025-06-26,305.77,307.28,304.86,306.78,6787500.0,,user_csv,pending,
2025-06-27,300.03,302.36,299.89,301.22,13301300.0,,user_csv,pending,
2025-06-30,302.39,304.92,301.95,304.83,8192100.0,,user_csv,pending,
2025-07-01,308.56,309.0,307.36,307.55,9335600.0,,user_csv,pending,
2025-07-02,308.04,309.4,306.96,309.25,8316400.0,,user_csv,pending,
2025-07-03,307.05,307.57,306.15,307.14,5275800.0,,user_csv,pending,
2025-07-07,305.07,307.71,304.53,307.37,7351600.0,,user_csv,pending,
2025-07-08,306.3,306.45,302.77,304.16,11840500.0,,user_csv,pending,
2025-07-09,303.58,305.54,303.23,305.52,10644100.0,,user_csv,pending,
2025-07-10,306.11,306.51,304.82,306.2,7053700.0,,user_csv,pending,
2025-07-11,308.86,310.28,308.52,309.14,9187300.0,,user_csv,pending,
2025-07-14,309.07,309.38,307.73,308.01,5772900.0,,user_csv,pending,
2025-07-15,307.73,308.74,305.79,306.73,8149000.0,,user_csv,pending,
2025-07-16,307.11,311.09,305.73,308.26,17693100.0,,user_csv,pending,
2025-07-17,305.5,307.67,305.12,307.59,6642300.0,,user_csv,pending,
2025-07-18,309.24,309.37,308.32,308.39,5574300.0,,user_csv,pending,
2025-07-21,311.88,313.31,311.61,313.13,10995800.0,,user_csv,pending,
2025-07-22,314.48,316.24,313.62,316.1,13691800.0,,user_csv,pending,
2025-07-23,314.0,314.96,311.42,312.18,10547500.0,,user_csv,pending,
2025-07-24,309.29,310.99,309.06,310.27,7698800.0,,user_csv,pending,
2025-07-25,307.82,308.31,306.2,307.4,9376400.0,,user_csv,pending,
2025-07-28,306.44,306.58,304.05,305.41,9275400.0,,user_csv,pending,
2025-07-29,305.8,307.03,304.99,306.25,5741100.0,,user_csv,pending,
2025-07-30,304.42,304.65,300.96,300.96,13459600.0,,user_csv,pending,
2025-07-31,304.59,304.61,302.86,302.96,8981000.0,,user_csv,pending,
2025-08-01,308.61,309.55,307.45,309.11,12843400.0,,user_csv,pending,
2025-08-04,310.8,311.74,310.37,310.91,7639000.0,,user_csv,pending,
2025-08-05,310.37,312.24,310.22,311.16,6997700.0,,user_csv,pending,
2025-08-06,310.32,311.24,309.84,310.5,7418200.0,,user_csv,pending,
2025-08-07,311.72,313.14,310.7,313.12,10891500.0,,user_csv,pending,
2025-08-08,312.35,313.53,311.0,313.05,19886800.0,,user_csv,pending,
2025-08-11,308.62,309.66,307.63,308.55,10326700.0,,user_csv,pending,
2025-08-12,308.22,309.31,306.71,308.27,9697400.0,,user_csv,pending,
2025-08-13,309.1,310.39,308.45,309.21,4718600.0,,user_csv,pending,
2025-08-14,307.93,308.34,306.52,307.25,5817700.0,,user_csv,pending,
2025-08-15,307.34,308.0,306.87,307.43,5990100.0,,user_csv,pending,
2025-08-18,307.79,307.89,306.63,306.95,6150100.0,,user_csv,pending,
2025-08-19,306.76,307.48,305.19,305.27,5029900.0,,user_csv,pending,
2025-08-20,307.54,308.47,307.4,308.36,6515400.0,,user_csv,pending,
2025-08-21,307.86,308.15,307.03,307.29,4809000.0,,user_csv,pending,
2025-08-22,306.52,311.02,306.43,310.58,8526500.0,,user_csv,pending,
2025-08-25,309.67,310.84,309.67,309.83,4044400.0,,user_csv,pending,
2025-08-26,310.62,312.21,310.31,312.08,11698500.0,,user_csv,pending,
2025-08-27,311.39,312.91,310.77,312.71,4320100.0,,user_csv,pending,
2025-08-28,313.32,315.08,313.07,315.03,9610200.0,,user_csv,pending,
2025-08-29,314.72,318.09,314.64,318.07,15642600.0,,user_csv,pending,
2025-09-02,320.82,325.92,320.24,325.59,21247500.0,,user_csv,pending,
2025-09-03,327.76,329.45,326.73,328.14,16062200.0,,user_csv,pending,
2025-09-04,327.03,327.56,325.35,326.69,11703100.0,,user_csv,pending,
2025-09-05,329.53,331.44,328.93,331.05,16065200.0,,user_csv,pending,
2025-09-08,333.66,335.67,333.23,334.82,18617300.0,,user_csv,pending,
2025-09-09,337.03,338.31,333.85,334.06,21641900.0,,user_csv,pending,
2025-09-10,335.73,336.5,326.19,335.26,11945700.0,,user_csv,pending,
2025-09-11,333.37,335.16,332.97,334.76,9082600.0,,user_csv,pending,
2025-09-12,335.88,336.39,335.23,335.42,9619700.0,,user_csv,pending,
2025-09-15,336.31,339.28,336.23,338.91,10569900.0,,user_csv,pending,
2025-09-16,340.09,340.88,338.62,339.59,12161500.0,,user_csv,pending,
2025-09-17,338.53,341.24,335.52,336.97,16535300.0,,user_csv,pending,
2025-09-18,336.22,336.32,333.81,335.62,14913300.0,,user_csv,pending,
2025-09-19,336.51,339.23,336.31,339.18,14982600.0,,user_csv,pending,
2025-09-22,342.75,345.07,341.84,345.05,12386400.0,,user_csv,pending,
2025-09-23,348.23,348.75,345.32,346.46,18384000.0,,user_csv,pending,
2025-09-24,346.7,346.83,342.14,343.32,12709100.0,,user_csv,pending,
2025-09-25,344.39,345.83,342.47,344.75,12639600.0,,user_csv,pending,
2025-09-26,345.83,348.25,345.31,346.74,11698200.0,,user_csv,pending,
2025-09-29,351.79,352.83,351.28,352.46,15719600.0,,user_csv,pending,
2025-09-30,351.13,355.57,350.87,355.47,13312400.0,,user_csv,pending,
2025-10-01,356.17,356.97,354.79,356.03,15573600.0,,user_csv,pending,
2025-10-02,358.26,358.67,351.4,354.79,16162100.0,,user_csv,pending,
2025-10-03,357.12,358.14,355.8,357.64,14464000.0,,user_csv,pending,
2025-10-06,362.16,365.3,361.37,364.38,17093700.0,,user_csv,pending,
2025-10-07,366.51,367.27,364.55,366.26,16836800.0,,user_csv,pending,
2025-10-08,371.65,373.57,370.5,372.3,28052300.0,,user_csv,pending,
2025-10-09,373.14,373.22,362.83,365.43,33674800.0,,user_csv,pending,
2025-10-10,367.54,370.31,365.44,369.12,24192800.0,,user_csv,pending,
2025-10-13,376.5,378.86,375.58,378.09,18514400.0,,user_csv,pending,
2025-10-14,378.21,382.38,377.9,380.79,18409600.0,,user_csv,pending,
2025-10-15,385.93,387.76,384.59,387.39,20598300.0,,user_csv,pending,
2025-10-16,391.15,396.87,390.4,396.45,33621400.0,,user_csv,pending,
2025-10-17,397.14,397.28,385.22,388.99,61959600.0,,user_csv,pending,
2025-10-20,397.45,403.3,394.2,403.15,34523000.0,,yahoo_api,✅,
2025-10-21,386.54,388.88,375.68,377.24,53326308.0,,yahoo_api,✅,
2025-10-22,372.75,378.47,368.93,377.28,30524100.0,,yahoo_api,✅,
2025-10-23,381.46,382.25,378.65,378.79,13695500.0,,yahoo_api,✅,
2025-10-24,378.51,380.77,376.81,377.52,13263800.0,,yahoo_api,✅,
2025-10-27,371.13,371.59,365.34,367.01,23657600.0,,yahoo_api,✅,
2025-10-28,361.81,365.3,360.12,364.38,19257600.0,,yahoo_api,✅,
2025-10-29,369.65,370.08,361.36,363.0,18891800.0,,yahoo_api,✅,
2025-10-30,365.09,370.36,364.5,370.13,14812800.0,,yahoo_api,✅,
2025-10-31,370.47,370.66,365.5,368.12,11073300.0,,yahoo_api,✅,
2025-11-03,368.91,370.84,367.54,368.78,7254300.0,368.0,yahoo_api,✅,
2025-11-04,363.48,365.74,361.39,362.32,11540100.0,367.0,yahoo_api,✅,
2025-11-05,366.39,367.1,364.65,366.51,8357300.0,364.0,yahoo_api,✅,
2025-11-06,367.16,368.18,364.7,366.07,6850090.0,,yahoo_api,✅,
2025-11-07,367.94,370.42,366.45,368.54,8302541.0,yahoo_api,✅,,
2025-11-10,375.93,378.66,374.78,378.38,13421100.0,user_premarket,yahoo_api,✅,
2025-11-11,379.98,380.4,376.87,379.87,10097758.0,381.0,yahoo_api,✅,
2025-11-12,,,,,379.0,user_premarket,pending,pre-market input awaiting market close data
